 -6.82743211753966026e-14 -2.40787908557214273e-16  1.88767410644949872e-19
 -6.69942520654653507e-23 -7.43160344151362514e-25  6.39205166919858000e-27
1957+20    16-Jun-14  173000.00   56824.72916666660            29.124020 -0.501 -7.097
 299111885868.110705  622.122028784041   ao  300   12   335.250 0.8516   2.6180
 -8.60732133674962929e-08  1.38048799064754957e+00  2.40345127308917847e-03
  1.06837592197564407e-05 -2.52907456594477199e-08 -6.94596679714144482e-11
  1.09492113080303276e-13  2.16240355025407607e-16 -2.55285054125637832e-19
 -3.93484792133448702e-22  3.50011501870204928e-25  4.28497467478733323e-28
1957+20    16-Jun-14  213000.00   56824.89583333330            29.124020 -0.513 -5.850
 299120844930.835358  622.122028784041   ao  300   12   335.250 0.2881   2.6180
 -8.58891410595793992e-07  2.52134588354003863e+00 -9.67543021309871690e-04
 -1.33158140508129123e-05  1.11852037510928993e-08  8.62243938534516200e-11
 -4.91072224911492425e-14 -2.65432580932117439e-16  1.08727606922031743e-19
  4.02292114405950846e-22 -3.09190090593966625e-26  8.23396899846644602e-28
1957+20    17-Jun-14   23000.00   56825.10416666660            29.124020 -0.514 -3.371
 299132043658.211320  622.122028784041   ao  300   12   335.250 0.8335   2.6180
 -2.16211710865246015e-05  1.38793524398062051e+00  1.91482317283131844e-03
  1.14114502627911221e-05 -2.14173874944659552e-08 -7.44526724288717734e-11
  9.25293106762823216e-14  1.57036345262278823e-16 -1.03922045024983562e-19
  2.29378622357258341e-21 -2.70269365039131564e-24 -3.15370052103949431e-26
1957+20    17-Jun-14   73000.00   56825.31249999990            29.124020 -0.497 -7.010
 299143242494.439702  622.122028784041   ao  300   12   335.250 0.3789   2.6180
 -2.07707052789912749e-08  2.26855574536598326e+00 -2.87313498600312058e-03
 -8.93882995302144390e-06  3.00821179969899184e-08  5.84673737901686568e-11
 -1.30033852171043008e-13 -1.81306311159774458e-16  3.00556241167235323e-19
  3.25407012268917415e-22 -4.00739878571083102e-25 -3.58514058798379494e-28
1957+20    17-Jun-14  123000.00   56825.52083333330            29.124020 -0.484 -4.370
 299154441146.113587  622.122028784041   ao  300   12   335.250 0.9243   2.6180
 -9.60482696950662462e-06  1.54733698779102125e+00  3.28449040805490556e-03
  5.82319203984062093e-06 -3.59174496498374211e-08 -3.72728869336815927e-11
  1.55020972429941721e-13  1.27201285895811922e-16 -2.95856373826304942e-19
 -5.87884464025191012e-22 -6.15943986848990483e-25  4.70857906156289222e-27
1957+20    17-Jun-14  173000.00   56825.72916666660            29.124020 -0.492 -6.959
 299165639992.891530  622.122028784041   ao  300   12   335.250 0.4698   2.6180
 -1.77968307427806005e-07  1.92191946821639092e+00 -3.49330860283949369e-03
 -1.83469985717556367e-06  3.88374678975408194e-08  1.22855406481941449e-11
 -1.69372470904644013e-13 -3.86296226520667618e-17  3.92188343703360843e-19
  7.24887879883447824e-23 -5.24004130042298839e-25 -9.16011807873731572e-29
1957+20    17-Jun-14  210000.00   56825.87500000000            29.124020 -0.502 -6.832
 299173479029.792449  622.122028784041   ao  300   12   335.250 0.8517   2.6180
  4.14451611172733658e-08  1.38661120496901691e+00  2.38974735666125804e-03
  1.05384617920595323e-05 -2.52651381346922338e-08 -6.93296147953152935e-11
  1.09456833774995940e-13  2.16296337211163069e-16 -2.55161979170185395e-19
 -3.96764431166059702e-22  3.49160067395083363e-25  4.74555793455463242e-28
1957+20    18-Jun-14   20000.00   56826.08333333330            29.124020 -0.506 -3.569
 299184677874.124079  622.122028784041   ao  300   12   335.250 0.3971   2.6180
 -4.79636004516934000e-05  2.24250995038454271e+00 -3.05063021443217073e-03
 -7.88001402288158277e-06  3.26671656190010042e-08  5.17959254036170265e-11
 -1.40949075838177300e-13 -2.70402628184693830e-16  3.49501656914410162e-19
  4.54147305451464383e-21 -1.58264659407276412e-24 -5.75949093332328279e-26
