 -1.34411024655422839e-05 -6.41966328795479357e-09  8.82945013275949878e-11
  2.64420542076674801e-14 -2.53991290339771982e-16  1.11939268907841571e-20
 -1.92591821009172577e-22 -1.19881013613687929e-24  7.75562834816006080e-27
1957+20    11-Jun-14  173000.00   56819.72916666660            29.124020 -0.544 -7.021
 298843115051.569905  622.122028784041   ao  300   12   350.000 0.7608   2.6180
 -4.24378813713641168e-08  1.40105900638095560e+00  5.26479082819285228e-04
  1.37632415231876446e-05 -4.88825751610191172e-09 -8.94796099308021075e-11
  2.05291907917316263e-14  2.78423854547248708e-16 -4.62986060709618031e-20
 -5.07702017038126332e-22  5.64564396131230044e-26  5.86165998924129798e-28
1957+20    11-Jun-14  213000.00   56819.89583333330            29.124020 -0.556 -6.733
 298852074093.126973  622.122028784041   ao  300   12   350.000 0.1972   2.6180
 -1.33986826686589844e-07  2.68612877660955851e+00  1.07852135536619853e-03
 -1.33540533348801690e-05 -1.09917468475465836e-08  8.65954988380661826e-11
  4.70586643403012575e-14 -2.68668721188487357e-16 -1.07250652596724796e-19
  4.83501656741316602e-22  1.37055150888724418e-25 -5.08904172621817679e-28
1957+20    12-Jun-14   23000.00   56820.10416666660            29.124020 -0.559 -4.354
 298863272931.294322  622.122028784041   ao  300   12   350.000 0.7427   2.6180
 -1.35818275548570567e-05  1.45365600477034707e+00 -2.91721294450639355e-05
  1.36410812545095891e-05 -1.81083316501758568e-10 -8.96732798561378648e-11
  2.31550920707325522e-15  2.55280694995937861e-16 -6.96683983446885440e-20
  5.83618816577134555e-22  1.08561962858257325e-24 -1.63598119942935005e-26
1957+20    12-Jun-14   73000.00   56820.31249999990            29.124020 -0.543 -6.977
 298874471762.536644  622.122028784041   ao  300   12   350.000 0.2881   2.6180
 -9.39889152262382566e-08  2.63487652701123176e+00 -1.16509760518790427e-03
 -1.31895882115058417e-05  1.15157398602543919e-08  8.61095127672525952e-11
 -4.94872747162135220e-14 -2.66925102327189098e-16  1.15242372099090712e-19
  4.78521417645492934e-22 -1.56890536256336466e-25 -5.24165209432864702e-28
1957+20    12-Jun-14  123000.00   56820.52083333330            29.124020 -0.529 -4.518
 298885670511.799202  622.122028784041   ao  300   12   350.000 0.8335   2.6180
  4.89341639436056963e-06  1.44423914406376075e+00  1.94925922395791803e-03
  1.17223225774956418e-05 -2.14687947156043165e-08 -7.56364214466545041e-11
  9.22864070122567532e-14  2.31745856181851712e-16 -1.59136422563395993e-19
 -2.15274930611408139e-22 -6.33360990146891998e-25 -3.34510429168055975e-27
1957+20    12-Jun-14  173000.00   56820.72916666660            29.124020 -0.536 -6.921
 298896869375.176249  622.122028784041   ao  300   12   350.000 0.3789   2.6180
 -2.14061595860473575e-07  2.41160081778990909e+00 -2.65980686721913571e-03
 -8.90124232384964933e-06  2.97525262326137360e-08  5.84088824260683607e-11
 -1.29862879863593303e-13 -1.81223816177318540e-16  3.00541652188674229e-19
  3.25456824881365882e-22 -4.00032938689928273e-25 -3.58632234914749392e-28
1957+20    12-Jun-14  213000.00   56820.89583333330            29.124020 -0.548 -6.818
 298905828350.875802  622.122028784041   ao  300   12   350.000 0.8154   2.6180
  7.49958249494919738e-09  1.47770167976920996e+00  1.69698438346401240e-03
  1.22449936729589806e-05 -1.77434817844826974e-08 -8.05070149449417509e-11
  7.66670442012188330e-14  2.51137399628863426e-16 -1.78312690802990717e-19
 -4.60775910330822365e-22  2.45380484831085064e-25  5.59960039553935907e-28
1957+20    13-Jun-14   23000.00   56821.10416666660            29.124020 -0.551 -3.674
 298917027227.055559  622.122028784041   ao  300   12   350.000 0.3608   2.6180
  2.77344909953188001e-05  2.51970005412575615e+00 -2.51890235164138393e-03
 -1.02541818394137255e-05  2.69122425688114537e-08  6.58494890396833757e-11
 -1.22356264240877642e-13 -1.71627158432210006e-16  5.86134720780213999e-19
 -1.58390663600158699e-21 -6.05000341445410707e-24  3.64048270985696027e-26
1957+20    13-Jun-14   73000.00   56821.31249999990            29.124020 -0.534 -6.991
 298928225946.566128  622.122028784041   ao  300   12   350.000 0.9063   2.6180
 -1.84978412275105253e-09  1.67013941828546675e+00  2.99076602452174505e-03
  7.07168018542517412e-06 -3.36962310733081641e-08 -4.60499816696152887e-11
  1.47438101942879985e-13  1.43274343540106735e-16 -3.44736058368372402e-19
 -2.60836722142933278e-22  4.74180848094404595e-25  2.96268531799984923e-28
1957+20    13-Jun-14  123000.00   56821.52083333330            29.124020 -0.521 -4.452
 298939424833.665108  622.122028784041   ao  300   12   350.000 0.4517   2.6180
  1.33093959868609002e-05  2.10043291657438003e+00 -3.53465286914271841e-03
 -3.26319251708839319e-06  3.81830128242570145e-08  2.23364912870367754e-11
 -1.67412338084807759e-13 -8.39680518933737093e-17  4.55629464036478589e-19
  7.60782176105813769e-22 -1.61362789186639948e-24 -9.91425191078720779e-27
1957+20    13-Jun-14  173000.00   56821.72916666660            29.124020 -0.527 -7.015
 298950623505.670393  622.122028784041   ao  300   12   350.000 0.9971   2.6180
 -7.11524767021964877e-08  1.98950482805629636e+00  3.71283378211314163e-03
 -4.17587642250698663e-07 -3.95469401560530265e-08  3.11257338827904487e-12
  1.71562092026848110e-13 -1.03326334827675984e-17 -3.99984551060601062e-19
  2.21601717591644889e-23  5.48026923724570356e-25 -3.41478787251105280e-29
1957+20    13-Jun-14  213000.00   56821.89583333330            29.124020 -0.539 -6.744
 298959582648.030882  622.122028784041   ao  300   12   350.000 0.4336   2.6180
 -2.09425337103358311e-07  2.23955193993454182e+00 -3.30552857427896972e-03
 -5.02649137622964431e-06  3.66368577870023292e-08  3.22385479187455753e-11
 -1.59672190266371153e-13 -9.98314442671475394e-17  3.69195792580826210e-19
  1.77014095751937256e-22 -4.86539647319066630e-25 -1.34844466989052403e-28
1957+20    14-Jun-14   23000.00   56822.10416666660            29.124020 -0.542 -4.351
 298970781344.681445  622.122028784041   ao  300   12   350.000 0.9790   2.6180
 -4.03277467062729267e-06  1.97161484709448454e+00  3.55567383805456246e-03
