 -5.43503499018293936e-09  2.32747742012124373e-12  5.23265346608954441e-15
 -1.60108604710227124e-18 -4.88715582075015643e-21  5.33648998720445629e-24
  8.48944887134516705e-26 -6.96010498832312416e-29 -1.06943662433964083e-30
B0531+21   18-Oct-15   33000.00   57313.14583333320             0.000059 -0.853 -8.241
      8071225.551348   29.660772797300   mc  300   12  1650.000                
  6.28370570171250115e-09  1.45785554163452846e-01 -5.17710739583838875e-06
  6.65448254348562692e-10  6.33693643230261925e-12 -6.03095598985632439e-16
 -3.98914725058087151e-18 -2.44373509819422667e-21 -5.14871261839910078e-26
  8.85914609692000098e-26  8.21324586117611317e-30 -1.05647944074084700e-30
B0531+21   18-Oct-15   83000.00   57313.35416666660             0.000058 -0.842 -7.958
      8605162.796550   29.660772797300   mc  300   12  1650.000                
 -9.57397524666278924e-09  1.43462377870789110e-01 -1.77836347579948555e-06
  5.76926742083811093e-09  9.10029520140833958e-13 -5.55326191396707765e-15
 -5.31824429838952614e-19  4.88183335529870217e-21 -2.42612825056368092e-24
 -8.90883319127397575e-26  4.67875385581935969e-29  1.22399606523712170e-30
B0531+21   18-Oct-15  133000.00   57313.56249999990             0.000058 -0.847 -8.254
      9139099.735318   29.660772797300   mc  300   12  1650.000                
 -4.68288688628540665e-09  1.43831897289824567e-01  2.47028631946539030e-06
  2.27485991073645043e-09 -5.87170231039950714e-12 -2.14500970886039909e-15
  3.63175707457611007e-18 -1.72571646607046728e-21  3.94416644544144087e-24
  9.46465862182587850e-26 -8.18270228412691444e-29 -1.26016435672223583e-30
B0531+21   18-Oct-15  173000.00   57313.72916666660             0.000058 -0.855 -7.952
      9566249.536605   29.660772797300   mc  300   12  1650.000                
 -1.51557453061517555e-08  1.45068593255550271e-01  1.97317902195493821e-06
 -3.52730926409615073e-09 -5.08418737883004866e-12  3.36261739105024274e-15
  3.29201458983795715e-18 -8.26904849039146974e-22 -4.14551055773331016e-24
 -2.02976030954704820e-26  6.00358219750155926e-29  2.10867166400781384e-31
B0531+21   18-Oct-15  223000.00   57313.93749999990             0.000058 -0.857 -8.255
     10100187.018777   29.660772797300   mc  300   12  1650.000                
 -4.13102460952954778e-09  1.44925432367342372e-01 -2.73928463387562436e-06
 -5.39746966883997758e-09  2.42910181698604407e-12  5.17971444496880203e-15
 -1.65311260255233614e-18 -3.39900472377269126e-21  5.20566564970567862e-24
  2.83638146929100072e-26 -7.38847400189785150e-29 -2.58931127674194821e-31
B0531+21   19-Oct-15   33000.00   57314.14583333320             0.000058 -0.844 -8.216
     10634124.045024   29.660772797300   mc  300   12  1650.000                
  8.09471454729177248e-09  1.42262574010555892e-01 -5.18482945365348413e-06
  7.65186162457228702e-10  6.32359872991717304e-12 -7.17655383039450848e-16
 -3.98679664328595963e-18 -6.57650304164599571e-22 -2.19155470806595883e-25
  1.96382978025079447e-26  1.53860142116363858e-29 -7.11615060200290491e-32
B0531+21   19-Oct-15   83000.00   57314.35416666660             0.000058 -0.833 -7.967
     11168060.235002   29.660772797300   mc  300   12  1650.000                
 -1.13983552462202731e-08  1.39956684462976627e-01 -1.72632582822913298e-06
  5.78282816064596524e-09  8.02100603767864971e-13 -5.56910234199047759e-15
 -5.51206762713551863e-19  5.07810209305776174e-21  1.63425056292309803e-24
 -9.32434926684625397e-26 -2.01580490845670382e-29  1.23734531539058681e-30
B0531+21   19-Oct-15  133000.00   57314.56249999990             0.000058 -0.838 -8.260
     11701996.126249   29.660772797300   mc  300   12  1650.000                
 -2.44378406612508539e-09  1.40349819754061494e-01  2.48057078553785854e-06
  2.18231494211175878e-09 -5.91447836317910187e-12 -2.06379869252191965e-15
  3.75852760442011684e-18 -1.15472831978630153e-21 -1.06890918914297994e-24
  7.08929225816217767e-26  4.87309199108402171e-30 -9.07461213270703464e-31
B0531+21   19-Oct-15  173000.00   57314.72916666660             0.000058 -0.846 -7.967
     12129145.091085   29.660772797300   mc  300   12  1650.000                
 -1.03430926594530193e-08  1.41574673395516798e-01  1.91517485783790199e-06
 -3.60658620113773738e-09 -5.01653008122033386e-12  3.42965596356384178e-15
  3.17075881102558227e-18  9.72267712542604593e-24 -3.30365661657623120e-25
 -5.81122275566040257e-26 -2.14385832160641359e-30  8.15188972349810631e-31
B0531+21   19-Oct-15  223000.00   57314.93749999990             0.000058 -0.848 -8.258
     12663081.518409   29.660772797300   mc  300   12  1650.000                
 -3.12035665250056651e-09  1.41384845430226586e-01 -2.81854589285062291e-06
 -5.35838627707078896e-09  2.53024237790190195e-12  5.14573055800477907e-15
 -1.72293067218817038e-18 -3.77924144014208669e-21  5.48843838243939884e-24
  4.78755032740967507e-26 -7.78749765945284393e-29 -6.03542933078140005e-31
B0531+21   20-Oct-15   33000.00   57315.14583333320             0.000058 -0.835 -8.236
     13197017.477088   29.660772797300   mc  300   12  1650.000                
  6.53587074347613314e-09  1.38693574168208739e-01 -5.19095342887365178e-06
  8.64691569619844441e-10  6.30727569527465048e-12 -8.26773456296493579e-16
 -3.86555760278638772e-18  5.63153462669347619e-22 -5.65066503177708444e-24
 -2.68484620028641244e-26  1.07401220899771586e-28  6.27200063829644324e-31
B0531+21   20-Oct-15   83000.00   57315.35416666660             0.000058 -0.824 -7.984
     13730952.598160   29.660772797300   mc  300   12  1650.000                
 -1.11549678759275794e-08  1.36405691997429079e-01 -1.67370364231540779e-06
  5.79467922249931043e-09  6.91967035693217858e-13 -5.58144532310773416e-15
 -3.54375633917880302e-19  5.07539146682085241e-21 -4.13255716281335867e-24
 -8.94259347302565878e-26  7.14031408003324984e-29  1.13889441658030983e-30
B0531+21   20-Oct-15  133000.00   57315.56249999990             0.000058 -0.829 -8.253
     14264887.428305   29.660772797300   mc  300   12  1650.000                
 -3.49296419510254359e-09  1.36822369525070792e-01  2.49019097948158894e-06
  2.08907691173090529e-09 -5.95358877126313886e-12 -1.97189227373021888e-15
  3.65581519941138871e-18 -1.55271146284303873e-21  4.73919192138396138e-24
  9.09179797453301996e-26 -8.72616759122156392e-29 -1.27933465205638308e-30
