  3.15038604572014563e-18  2.26108987328430001e-21 -1.62690982127065260e-24
 -6.51024824102489325e-26  1.19080063035853999e-29  1.06764845442745058e-30
B0531+21    6-Jan-15  123000.00   57028.52083333330             0.000050  0.365 -8.348
    -21720445.457559   29.669488747730   wb  300   12  1650.000                
  2.78134313720999730e-09 -4.86797084433846228e-02  1.06113584012683290e-06
 -2.90008972964501823e-09 -4.36659730494156612e-12  2.78662548802753348e-15
  2.65623359816929383e-18 -1.94029752153062363e-21  4.89369811184078131e-24
  1.87681174291748492e-26 -9.36673473232784002e-29 -1.46538748720635318e-31
B0531+21    6-Jan-15  173000.00   57028.72916666660             0.000050  0.365 -8.502
    -21186409.273827   29.669488747730   wb  300   12  1650.000                
 -1.48459776442164885e-09 -4.91525429780663090e-02 -2.89992626506978604e-06
 -4.60022968858252222e-09  1.95352283934341800e-12  4.39380829640560795e-15
 -1.28447804104614788e-18 -7.57494701212959715e-22  2.29298921642232934e-24
 -5.88872217722665835e-26 -3.28729479140882251e-29  9.94546439537097961e-31
B0531+21    6-Jan-15  223000.00   57028.93749999990             0.000050  0.378 -8.478
    -20652373.582203   29.669488747730   wb  300   12  1650.000                
 -3.92785961691487283e-09 -5.17726191934339414e-02 -5.03754808454505298e-06
  5.52877894765651345e-10  5.36567851277010695e-12 -5.30894138569065954e-16
 -3.43636398164789129e-18  5.57607038498859640e-22  9.53041997715854028e-25
 -1.45930057452060363e-26  1.30644211774000380e-29  2.51305190413065180e-31
B0531+21    7-Jan-15   33000.00   57029.14583333330             0.000050  0.389 -8.344
    -20118338.715002   29.669488747730   wb  300   12  1650.000                
 -6.55319899626143456e-10 -5.41345138921791869e-02 -2.16618080689592554e-06
  4.88489650162517465e-09  7.87486113880243130e-13 -4.68250127312032711e-15
 -5.53942585444034853e-19  2.91411338072688324e-21  2.38818531156358368e-24
 -3.40857252798066508e-26 -3.33438972199497116e-29  5.26265636639098484e-31
B0531+21    7-Jan-15   83000.00   57029.35416666660             0.000050  0.387 -8.435
    -19584304.225931   29.669488747730   wb  300   12  1650.000                
 -3.06293939710211788e-09 -5.42161014864731491e-02  1.43990745588619511e-06
  1.94415097688372895e-09 -4.96441278417057202e-12 -1.86068443842119635e-15
  3.27732989402821610e-18  8.65596647577597252e-22 -6.21639643842263241e-24
  2.65151476530200769e-27  8.45878155008863394e-29 -8.39665512277760652e-32
B0531+21    7-Jan-15  123000.00   57029.52083333330             0.000050  0.381 -8.301
    -19157076.507245   29.669488747730   wb  300   12  1650.000                
  4.23420698978816404e-09 -5.34784505034247917e-02  1.03302403745116802e-06
 -2.96829963653068646e-09 -4.31142470745523841e-12  2.85799176704245101e-15
  2.63342287901150291e-18 -2.86268634245170638e-21  4.37391794592345031e-24
  6.44062625455396323e-26 -8.64189712226372837e-29 -9.22811173458115379e-31
B0531+21    7-Jan-15  173000.00   57029.72916666660             0.000050  0.381 -8.417
    -18623041.766932   29.669488747730   wb  300   12  1650.000                
 -1.99186530897704772e-09 -5.39785958073538616e-02 -2.94745200470749074e-06
 -4.56871280482464807e-09  2.03937627347525573e-12  4.35286157531574553e-15
 -1.29352280503188118e-18  8.24485457954007259e-23  4.08096292593030819e-25
 -8.68228118237618086e-26 -5.64619157770467795e-30  1.33735445733054172e-30
B0531+21    7-Jan-15  223000.00   57029.93749999990             0.000050  0.394 -8.369
    -18089007.525962   29.669488747730   wb  300   12  1650.000                
 -3.26424915995100046e-09 -5.66112957201811706e-02 -5.02392855344778906e-06
  6.37231556106148391e-10  5.35444919140801925e-12 -6.11693372126769563e-16
 -3.45544741265057639e-18  4.42187968434906756e-22  3.29471734064753836e-24
 -3.50776058345628944e-27 -3.90988038477568399e-29  3.26143415061436371e-32
B0531+21    8-Jan-15   33000.00   57030.14583333330             0.000050  0.405 -8.285
    -17554974.107135   29.669488747730   wb  300   12  1650.000                
  5.62882680321059371e-09 -5.89464398613293653e-02 -2.10185503634076484e-06
  4.89648823513606460e-09  6.95314344938549565e-13 -4.67334272378673649e-15
 -4.79532960926600689e-19  1.18388708654100494e-21  1.98577539564777303e-24
  3.16297521614507911e-26 -3.38163116821765291e-29 -3.90235211221398736e-31
B0531+21    8-Jan-15   83000.00   57030.35416666660             0.000051  0.403 -8.448
    -17020941.056267   29.669488747730   wb  300   12  1650.000                
 -2.15465359717378576e-09 -5.89958164705873672e-02  1.46904187045023791e-06
  1.86585065115356905e-09 -4.99812979668308825e-12 -1.78771391486758427e-15
  3.07544498321358556e-18  1.20917416364150343e-21  4.23626258218877142e-24
 -1.92811102941037928e-26 -8.88488235820100602e-29  3.25378510319832602e-31
B0531+21    8-Jan-15  123000.00   57030.52083333330             0.000051  0.397 -8.304
    -16593714.484172   29.669488747730   wb  300   12  1650.000                
  3.30815479070713068e-09 -5.82583812775969295e-02  1.00432723927163890e-06
 -3.03558176701350721e-09 -4.25538988484533673e-12  2.90942490239748176e-15
  2.63363173924829761e-18 -1.50299403419021552e-21  3.25882886513088597e-24
  4.51593520238713362e-27 -7.43002724237208831e-29 -1.41939444079787961e-32
B0531+21    8-Jan-15  173000.00   57030.72916666660             0.000051  0.398 -8.446
    -16059681.181656   29.669488747730   wb  300   12  1650.000                
 -3.77121111611353850e-10 -5.87858562884176691e-02 -2.99437814268280447e-06
 -4.53599404420194596e-09  2.12406588360196539e-12  4.34285778683736210e-15
 -1.22811173667851252e-18 -1.74713108043414184e-21 -5.65036457651928745e-24
